dgs;Traveler: Project;Rosetta Assigned Project;Rosetta State;IDX Assigned Project;imageset;Project State;Projects with no Imageset workflow
007567782;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[EC1D3876-35E5-4733-92B9-C66E0AAD8F7A|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/EC1D3876-35E5-4733-92B9-C66E0AAD8F7A/batches/list];READY_FOR_WORK;
007567783;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[F36DAF82-315B-474F-B1C7-77009B258743|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/F36DAF82-315B-474F-B1C7-77009B258743/batches/list];READY_FOR_WORK;
007567784;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[7100A79E-261E-4C38-9D3B-D2E1D591B305|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/7100A79E-261E-4C38-9D3B-D2E1D591B305/batches/list];READY_FOR_WORK;
007567785;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[4F61A12C-B120-41A6-AE4B-E64D61A3D3B1|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/4F61A12C-B120-41A6-AE4B-E64D61A3D3B1/batches/list];READY_FOR_WORK;
007567786;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[D7E1313A-81B3-4C24-91D8-0812FA0B63EB|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/D7E1313A-81B3-4C24-91D8-0812FA0B63EB/batches/list];READY_FOR_WORK;
007567787;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[EEC322AB-074A-4D43-8FD4-000D54E3E893|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/EEC322AB-074A-4D43-8FD4-000D54E3E893/batches/list];READY_FOR_WORK;
007567788;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[C0B94FE9-6FB0-49DB-A0CB-894D6842FA6E|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/C0B94FE9-6FB0-49DB-A0CB-894D6842FA6E/batches/list];READY_FOR_WORK;
007567789;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[CE620D3A-EABA-4C74-8E20-C5BC1E3F40CC|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/CE620D3A-EABA-4C74-8E20-C5BC1E3F40CC/batches/list];READY_FOR_WORK;
007567790;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[DFF8FB14-68BC-4869-834B-A7A73999475A|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/DFF8FB14-68BC-4869-834B-A7A73999475A/batches/list];READY_FOR_WORK;
007567791;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[A55AA1A1-CDB6-446F-AF51-A5C167C84004|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/A55AA1A1-CDB6-446F-AF51-A5C167C84004/batches/list];READY_FOR_WORK;
007567808;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[035ED129-4AA6-4EF4-BE0F-4DBC2AD8A7EA|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/035ED129-4AA6-4EF4-BE0F-4DBC2AD8A7EA/batches/list];READY_FOR_WORK;
007567809;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[4D1595BB-F3A0-4382-8C3B-83B8BB0929E8|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/4D1595BB-F3A0-4382-8C3B-83B8BB0929E8/batches/list];READY_FOR_WORK;
007567810;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[35328138-41BF-4B0C-A134-B3787B300BDA|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/35328138-41BF-4B0C-A134-B3787B300BDA/batches/list];READY_FOR_WORK;
